0000000040##34275##Grupa 2#Lmuml, Mbiqep#Okoliš i održivi razvoj#1
0000000041##19672##Grupa 5#Hthbzf, Ylhoe#Osnove elektrotehnike#1
0000000041##19674##Grupa 1#Hthbzf, Ylhoe#Digitalna logika#1
0000000041##19676##Grupa 5#Hthbzf, Ylhoe#Programiranje i programsko inženjerstvo#1
0000000041##31490##Grupa 1#Hthbzf, Ylhoe#Upravljanje kakvoćom#1
0000000041##31492##Grupa 1#Hthbzf, Ylhoe#Tjelesna i zdravstvena kultura 3#1
0000000041##31500##Grupa 3#Hthbzf, Ylhoe#Matematika 3R#1
0000000041##34275##Grupa 6#Hthbzf, Ylhoe#Okoliš i održivi razvoj#1
0000000042##19674##Grupa 5#Fxfnfbyf, Jhgng#Digitalna logika#1
0000000042##19676##Grupa 6#Fxfnfbyf, Jhgng#Programiranje i programsko inženjerstvo#1
0000000042##31487##Grupa 4#Fxfnfbyf, Jhgng#Fizika 2#1
0000000042##31490##Grupa 4#Fxfnfbyf, Jhgng#Upravljanje kakvoćom#1
0000000042##31500##Grupa 3#Fxfnfbyf, Jhgng#Matematika 3R#1
0000000043##31501##Grupa 1#Tqxgbjemt, Ypvcs#Operacijski sustavi#3
0000000043##37541##Grupa 1#Tqxgbjemt, Ypvcs#Projekt iz programske potpore#3
0000000044##31488##Grupa 1#Fsqtv, Lbvrjb#Elektronika 1#3
0000000044##31500##Grupa 1#Fsqtv, Lbvrjb#Matematika 3R#3
0000000044##37548##Grupa 1#Fsqtv, Lbvrjb#Projekt iz programske potpore#3
0000000045##34299##Grupa 1#Grswtnk, Kxsvqivme#Elektronika 2#3
0000000045##34301##Grupa 1#Grswtnk, Kxsvqivme#Primijenjeni elektromagnetizam#3
0000000046##31500##Grupa 3#Sdfnybg, Lxnmb#Matematika 3R#3
0000000046##34269##Grupa 2#Sdfnybg, Lxnmb#Oblikovanje programske potpore#3
0000000046##34272##Grupa 3#Sdfnybg, Lxnmb#Komunikacijske mreže#3
0000000046##34315##Grupa 6#Sdfnybg, Lxnmb#Teorija informacije#3
0000000047##34313##Grupa 3#Grsffxyf, Hdtxo#Automatsko upravljanje#3
0000000047##34314##Grupa 4#Grsffxyf, Hdtxo#Komunikacijski sustavi#3
0000000047##34315##Grupa 2#Grsffxyf, Hdtxo#Teorija informacije#3
0000000048##31489##Grupa 2#Jqnjy, Bxsfcbpy#Električni krugovi#3
0000000048##34313##Grupa 3#Jqnjy, Bxsfcbpy#Automatsko upravljanje#3
0000000048##34314##Grupa 4#Jqnjy, Bxsfcbpy#Komunikacijski sustavi#3
